     #Energy           s           p           d       tot  
   -21.26904     0.00000     0.00000     0.00000     0.00000
   -21.13604     0.00000     0.00000     0.00000     0.00000
   -21.00204     0.00000     0.00000     0.00000     0.00000
   -20.86904     0.00000     0.00000     0.00000     0.00000
   -20.73604     0.00000     0.00000     0.00000     0.00000
   -20.60204     0.00000     0.00000     0.00000     0.00000
   -20.46904     0.00000     0.00000     0.00000     0.00000
   -20.33604     0.00000     0.00000     0.00000     0.00000
   -20.20204     0.00000     0.00000     0.00000     0.00000
   -20.06904     0.00000     0.00000     0.00000     0.00000
   -19.93604     0.00000     0.00000     0.00000     0.00000
   -19.80204     0.00000     0.00000     0.00000     0.00000
   -19.66904     0.00000     0.00000     0.00000     0.00000
   -19.53604     0.00000     0.00000     0.00000     0.00000
   -19.40204     0.00000     0.00000     0.00000     0.00000
   -19.26904     0.00000     0.00000     0.00000     0.00000
   -19.13604     0.00000     0.00000     0.00000     0.00000
   -19.00204     0.00000     0.00000     0.00000     0.00000
   -18.86904     0.00000     0.00000     0.00000     0.00000
   -18.73604     0.00000     0.00000     0.00000     0.00000
   -18.60204     0.00000     0.00000     0.00000     0.00000
   -18.46904     0.00000     0.00000     0.00000     0.00000
   -18.33604     0.00000     0.00000     0.00000     0.00000
   -18.20204     0.00000     0.00000     0.00000     0.00000
   -18.06904     0.00000     0.00000     0.00000     0.00000
   -17.93604     0.00000     0.00000     0.00000     0.00000
   -17.80204     0.00000     0.00000     0.00000     0.00000
   -17.66904     0.00000     0.00000     0.00000     0.00000
   -17.53604     0.00000     0.00000     0.00000     0.00000
   -17.40204     0.00000     0.00000     0.00000     0.00000
   -17.26904     0.00000     0.00000     0.00000     0.00000
   -17.13604     0.00000     0.00000     0.00000     0.00000
   -17.00204     0.00000     0.00000     0.00000     0.00000
   -16.86904     0.00000     0.00000     0.00000     0.00000
   -16.73604     0.00000     0.00000     0.00000     0.00000
   -16.60204     0.00000     0.00000     0.00000     0.00000
   -16.46904     0.00000     0.00000     0.00000     0.00000
   -16.33604     0.00000     0.00000     0.00000     0.00000
   -16.20204     0.00000     0.00000     0.00000     0.00000
   -16.06904     0.00000     0.00000     0.00000     0.00000
   -15.93604     0.00000     0.00000     0.00000     0.00000
   -15.80204     0.00000     0.00000     0.00000     0.00000
   -15.66904     0.00000     0.00000     0.00000     0.00000
   -15.53604     0.00000     0.00000     0.00000     0.00000
   -15.40204     0.00000     0.00000     0.00000     0.00000
   -15.26904     0.00000     0.00000     0.00000     0.00000
   -15.13604     0.00000     0.00000     0.00000     0.00000
   -15.00204     0.00000     0.00000     0.00000     0.00000
   -14.86904     0.00000     0.00000     0.00000     0.00000
   -14.73604     0.00000     0.00000     0.00000     0.00000
   -14.60204     0.00000     0.00000     0.00000     0.00000
   -14.46904     0.00000     0.00000     0.00000     0.00000
   -14.33604     0.00000     0.00000     0.00000     0.00000
   -14.20204     0.00000     0.00000     0.00000     0.00000
   -14.06904     0.00000     0.00000     0.00000     0.00000
   -13.93604     0.00000     0.00000     0.00000     0.00000
   -13.80204     0.00000     0.00000     0.00000     0.00000
   -13.66904     0.00000     0.00000     0.00000     0.00000
   -13.53604     0.00000     0.00000     0.00000     0.00000
   -13.40204     0.00000     0.00000     0.00000     0.00000
   -13.26904     0.00000     0.00000     0.00000     0.00000
   -13.13604     0.00000     0.00000     0.00000     0.00000
   -13.00204     0.00000     0.00000     0.00000     0.00000
   -12.86904     0.00000     0.00000     0.00000     0.00000
   -12.73604     0.00000     0.00000     0.00000     0.00000
   -12.60204    -0.00000    -0.00000     0.00000    -0.00000
   -12.46904    -0.00000    -0.00000     0.00000    -0.00000
   -12.33604    -0.00000    -0.00000     0.00000    -0.00000
   -12.20204    -0.00000    -0.00000     0.00000    -0.00000
   -12.06904    -0.00000    -0.00000     0.00000    -0.00000
   -11.93604    -0.00000    -0.00000     0.00000    -0.00000
   -11.80204    -0.00000    -0.00000     0.00000    -0.00000
   -11.66904    -0.00000    -0.00000     0.00000    -0.00000
   -11.53604    -0.00000    -0.00000     0.00000    -0.00000
   -11.40204    -0.00006    -0.00000     0.00000    -0.00006
   -11.26904    -0.00011    -0.00000     0.00000    -0.00011
   -11.13604     0.00092     0.00000     0.00000     0.00092
   -11.00204    -0.00117     0.00001     0.00000    -0.00115
