      #Energy        TDOS-UP        TDOS-DOWN
     -11.26948      -0.00919       0.00919
     -11.20248      -0.01138       0.01138
     -11.13648      -0.01257       0.01257
     -11.06948       0.00398      -0.00397
     -11.00248       0.05477      -0.05477
     -10.93648       0.14630      -0.14630
     -10.86948       0.26580      -0.26580
     -10.80248       0.38810      -0.38810
     -10.73648       0.49530      -0.49530
     -10.66948       0.58630      -0.58630
     -10.60248       0.66520      -0.66520
     -10.53648       0.72910      -0.72910
     -10.46948       0.77960      -0.77950
     -10.40248       0.83490      -0.83490
     -10.33648       0.90990      -0.90990
     -10.26948       0.98570      -0.98570
     -10.20248       1.02700      -1.02700
     -10.13648       1.04000      -1.04000
     -10.06948       1.08000      -1.08000
     -10.00248       1.17500      -1.17500
      -9.93648       1.27600      -1.27600
      -9.86948       1.32100      -1.32100
      -9.80248       1.32000      -1.32000
      -9.73648       1.33000      -1.33000
      -9.66948       1.38300      -1.38300
      -9.60248       1.47100      -1.47100
      -9.53648       1.57700      -1.57700
      -9.46948       1.67400      -1.67400
      -9.40248       1.71100      -1.71100
      -9.33648       1.67500      -1.67500
      -9.26948       1.63800      -1.63800
      -9.20248       1.70400      -1.70400
      -9.13648       1.88700      -1.88700
      -9.06948       2.07500      -2.07500
      -9.00248       2.13900      -2.13900
      -8.93648       2.07900      -2.07900
      -8.86948       2.01800      -2.01800
      -8.80248       2.07100      -2.07100
      -8.73648       2.23000      -2.23000
      -8.66948       2.39700      -2.39700
      -8.60248       2.49800      -2.49800
      -8.53648       2.55100      -2.55100
      -8.46948       2.62200      -2.62200
      -8.40248       2.71600      -2.71600
      -8.33648       2.79500      -2.79500
      -8.26948       2.90400      -2.90400
      -8.20248       3.18900      -3.18900
      -8.13648       3.74000      -3.74000
      -8.06948       4.47600      -4.47600
      -8.00248       5.19000      -5.19000
      -7.93648       5.71400      -5.71400
      -7.86948       6.03300      -6.03300
      -7.80248       6.21500      -6.21500
      -7.73648       6.23300      -6.23300
      -7.66948       5.96900      -5.96900
      -7.60248       5.44100      -5.44100
      -7.53648       4.90300      -4.90300
      -7.46948       4.63600      -4.63600
      -7.40248       4.80100      -4.80100
      -7.33648       5.53100      -5.53100
      -7.26948       6.90400      -6.90400
      -7.20248       8.69300      -8.69300
      -7.13648      10.40000     -10.40000
      -7.06948      11.63000     -11.63000
      -7.00248      12.39000     -12.39000
      -6.93648      12.77000     -12.77000
      -6.86948      12.73000     -12.73000
      -6.80248      12.17000     -12.17000
      -6.73648      11.13000     -11.13000
      -6.66948       9.87200      -9.87200
      -6.60248       8.71500      -8.71500
      -6.53648       7.97300      -7.97300
      -6.46948       7.95500      -7.95500
      -6.40248       9.00900      -9.00900
      -6.33648      11.42000     -11.42000
      -6.26948      15.04000     -15.04000
      -6.20248      18.92000     -18.92000
      -6.13648      21.50000     -21.50000
      -6.06948      21.76000     -21.76000
      -6.00248      20.13000     -20.13000
      -5.93648      18.11000     -18.11000
      -5.86948      17.09000     -17.09000
      -5.80248      17.50000     -17.50000
      -5.73648      19.04000     -19.04000
      -5.66948      21.08000     -21.08000
      -5.60248      23.07000     -23.07000
      -5.53648      24.56000     -24.56000
      -5.46948      25.03000     -25.03000
      -5.40248      24.12000     -24.12000
      -5.33648      22.10000     -22.10000
      -5.26948      19.85000     -19.85000
      -5.20248      18.18000     -18.18000
      -5.13648      17.24000     -17.24000
      -5.06948      16.56000     -16.56000
      -5.00248      15.73000     -15.73000
      -4.93648      14.85000     -14.85000
